country,city,zone,metric,current_value,value_1w_ago,value_5w_ago,delta_1w,delta_5w
AR,Buenos Aires,CABALLITO,Non-Pro PTC > OP,0.8276496236,0.8227385439,0.8298789613,0.004911079700000043,-0.0022293377000000003
AR,Buenos Aires,CABALLITO,Perfect Orders,0.9105535036,0.9124918827,0.9131709416,-0.0019383791000000539,-0.0026174380000000275
AR,Buenos Aires,CABALLITO,Pro Adoption (Last Week Status),0.4711377287,0.4483816174,0.4489828203,0.022756111299999993,0.022154908400000006
AR,Buenos Aires,CABALLITO,Restaurants Markdowns / GMV,0.1115458182,0.1087764862,0.1033387712,0.0027693319999999993,0.008207046999999995
AR,Buenos Aires,CABALLITO,Restaurants SS > ATC CVR,0.617074159,0.6117716782,0.605710148,0.0053024807999999535,0.011364010999999952
AR,Buenos Aires,CABALLITO,Restaurants SST > SS CVR,0.9560094563,0.9573018529,0.9557277809,-0.001292396600000023,0.00028167540000001434
AR,Buenos Aires,CABALLITO,Retail SST > SS CVR,0.9123654627,0.9137136006,0.9034827757,-0.0013481378999999905,0.008882686999999945
AR,Buenos Aires,CABALLITO,Turbo Adoption,0.3426155232,0.3338129094,0.3458760981,0.00880261379999997,-0.0032605748999999795
AR,Buenos Aires,Caseros - Bonich,% PRO Users Who Breakeven,0.4823586274,0.4917869587,0.495692131,-0.009428331299999981,-0.013333503599999963
AR,Buenos Aires,Caseros - Bonich,% Restaurants Sessions With Optimal Assortment,0.9065549304,0.9062835291,0.8768371805,0.00027140130000002927,0.02971774989999998
AR,Buenos Aires,Caseros - Bonich,Gross Profit UE,0.8778983539,1.325168739,0.7780570753,-0.44727038509999995,0.09984127860000003
AR,Buenos Aires,Caseros - Bonich,Lead Penetration,0.1898209129,0.1868521282,0.1769392951,0.0029687847000000045,0.012881617799999995
AR,Buenos Aires,Caseros - Bonich,MLTV Top Verticals Adoption,0.1961590967,0.19913491,0.1770383993,-0.002975813299999991,0.019120697399999997
AR,Buenos Aires,Caseros - Bonich,Non-Pro PTC > OP,0.7722063777,0.766322235,0.775275227,0.005884142700000039,-0.003068849299999954
AR,Buenos Aires,Caseros - Bonich,Perfect Orders,0.8744875051,0.8789229735,0.8871674623,-0.004435468400000087,-0.012679957200000036
AR,Buenos Aires,Caseros - Bonich,Pro Adoption (Last Week Status),0.3632964403,0.3431359792,0.3320816122,0.020160461100000027,0.031214828100000036
AR,Buenos Aires,Caseros - Bonich,Restaurants Markdowns / GMV,0.1377997487,0.1356387632,0.128863593,0.00216098549999999,0.008936155700000004
AR,Buenos Aires,Caseros - Bonich,Restaurants SS > ATC CVR,0.5420207654,0.5378179323,0.5206094036,0.004202833100000025,0.02141136180000003
AR,Buenos Aires,Caseros - Bonich,Restaurants SST > SS CVR,0.9392412566,0.9416456827,0.9326310752,-0.0024044261000000233,0.006610181400000026
